N° de ligne;CodeHier;CodeActe;Libellé;GestesComplémentaires;Modulateur;TypeLigne;Consigne de codage pour le PMSI;Action année N S: suppression/A : Ajout/M: Modification;Caractéristique modification à publier;Séance;Dédié;Non dédié;Collectif;Pluriprofessionnel;Appareillage avec étapes;Début de validité;Fin de validité;Pondération acte isolé - 2012-2018;Pondération étape A 2012-2018;Pondération étape B 2012-2018;Pondération étape C 2012-2018;Pondération + modulateur HW 2012-2018;Pondération + modulateur LJ 2012-2018;Pondération + modulateur QM2012-2018;Pondération + modulateur XH 2012-2018
2;00;;INTRODUCTION;;;T;;;;;;;;;;;;;;;;;;;
3;00;;;;;LV;;;;;;;;;;;;;;;;;;;
4;00;;;;;LV;;;;;;;;;;;;;;;;;;;
5;00.01;;PRÉSENTATION DU CATALOGUE;;;T;;;;;;;;;;;;;;;;;;;
6;00.01;;Chaque chapitre est repéré par une couleur différente. Tous les codes d’un même chapitre sont présentés sur un fond de même couleur. Cette couleur identifie également les titres, les souschapitres, les paragraphes et sousparagraphes ainsi que les numéros de toutes les subdivisions du chapitre.;;;NT;;;;;;;;;;;;;;;;;;;
7;00.01;;La typographie a été choisie pour permettre de distinguer facilement les titres et libellés des notes d’utilisation qui peuvent leur être adjointes. Les premiers sont inscrits en caractères gras, les seconds en caractères italiques.;;;NT;;;;;;;;;;;;;;;;;;;
8;00.01;;Ligne de code et libellé :;;;NT;;;;;;;;;;;;;;;;;;;
9;00.01;;dans la 1re colonne, figurent la subdivision hiérarchique et le code du libellé en caractères gras;;;NT;;;;;;;;;;;;;;;;;;;
10;00.01;;"dans la 2e colonne, figure le libellé de l'acte en caractères gras ; en dessous de lui figurent les éventuelles notes d’utilisation et de codage attachées à ce libellé ; toutes les notes apparaissent en caractères italiques";;;NT;;;;;;;;;;;;;;;;;;;
11;00.01;;dans la 3e colonne, sur la ligne du code et du libellé figurent les codes des éventuels gestes complémentaires autorisés avec le libellé;;;NT;;;;;;;;;;;;;;;;;;;
12;00.01;;dans la 4e colonne, sur la ligne du code et du libellé figurent les codes des éventuels modulateurs autorisés avec le libellé;;;NT;;;;;;;;;;;;;;;;;;;
13;00.01;;;;;LV;;;;;;;;;;;;;;;;;;;
14;00.01;;;;;LV;;;;;;;;;;;;;;;;;;;
15;00.02;;NOTES GÉNÉRALES;;;T;;;;;;;;;;;;;;;;;;;
16;00.02;;"Certaines notes de portée très générale, concernant de nombreux libellés répartis dans l’ensemble des chapitres, sont fournies dans ce paragraphe ; il convient d’en prendre connaissance avant de se reporter aux libellés.";;;NT;;;;;;;;;;;;;;;;;;;
17;00.02;;;;;LV;;;;;;;;;;;;;;;;;;;
18;00.02;;;;;LV;;;;;;;;;;;;;;;;;;;
19;00.02.01;;Note de contenu;;;T;;;;;;;;;;;;;;;;;;;
20;00.02.01;;Les actes décrits dans le CSARR comprennent implicitement toutes les actions élémentaires qui concourent habituellement à leur achèvement.;;;NT;;;;;;;;;;;;;;;;;;;
21;00.02.01;;Il s’agit notamment des actions élémentaires suivantes :;;;NT;;;;;;;;;;;;;;;;;;;
22;00.02.01;;préparation de la salle, installation et adaptation du matériel de contrôle et des appareils;;;NT;;;;;;;;;;;;;;;;;;;
23;00.02.01;;lecture et prise de connaissance du dossier patient;;;NT;;;;;;;;;;;;;;;;;;;
24;00.02.01;;information sur le déroulement de l'épreuve ou de l’exercice;;;NT;;;;;;;;;;;;;;;;;;;
25;00.02.01;;présentation habituelle hebdomadaire du dossier [staff hebdomadaire] [réunion interdisciplinaire hebdomadaire];;;NT;;;;;;;;;;;;;;;;;;;
26;00.02.01;;restitution au patient et/ou son entourage;;;NT;;;;;;;;;;;;;;;;;;;
27;00.02.01;;rédaction de compte rendu, traçabilité des actes, codage des actes;;;NT;;;;;;;;;;;;;;;;;;;
28;00.02.01;;transmission aux autres professionnels de l’établissement;;;NT;;;;;;;;;;;;;;;;;;;
29;00.02.01;;;;;LV;;;;;;;;;;;;;;;;;;;
30;00.02.01;;;;;LV;;;;;;;;;;;;;;;;;;;
31;00.02.02;;Notes de définition;;;T;;;;;;;;;;;;;;;;;;;
32;00.02.02;;Par évaluation initiale, on entend :;;;NT;;;;;;;;;;;;;;;;;;;
33;00.02.02;;évaluation permettant d'apprécier au début de la prise en charge l'état du patient et tous les éléments nécessaires permettant de conclure à la nécessité ou non de prise en charge dans le domaine concerné;;;NT;;;;;;;;;;;;;;;;;;;
34;00.02.02;;l'évaluation initiale sert de référence aux évaluations ultérieures;;;NT;;;;;;;;;;;;;;;;;;;
35;00.02.02;;une seule évaluation initiale peut être codée par séjour pour une prise en charge donnée;;;NT;;;;;;;;;;;;;;;;;;;
36;00.02.02;;Par évaluation intermédiaire, on entend :;;;NT;;;;;;;;;;;;;;;;;;;
37;00.02.02;;évaluation focalisée permettant d'apprécier au cours de la prise en charge l'évolution du patient pour la comparer avec l'évolution précédemment prévue, et d'ajuster le programme de prise en charge en fonction des observations;;;NT;;;;;;;;;;;;;;;;;;;
38;00.02.02;;la périodicité de ces évaluations intermédiaires a été prédéfinie dans le programme de prise en charge établi à l'issue de l'évaluation initiale;;;NT;;;;;;;;;;;;;;;;;;;
39;00.02.02;;une évaluation intermédiaire ne peut pas être codée à chaque séance de rééducation;;;NT;;;;;;;;;;;;;;;;;;;
40;00.02.02;;Par évaluation finale, on entend :;;;NT;;;;;;;;;;;;;;;;;;;
41;00.02.02;;évaluation permettant d'apprécier en fin de prise en charge ou au moment de la sortie, l'état du patient et tous les éléments nécessaires permettant l'orientation et la poursuite de la prise en charge;;;NT;;;;;;;;;;;;;;;;;;;
42;00.02.02;;une seule évaluation finale peut être codée par séjour pour une prise en charge donnée;;;NT;;;;;;;;;;;;;;;;;;;
43;00.02.02;;L'évaluation initiale comprend :;;;NT;;;;;;;;;;;;;;;;;;;
44;00.02.02;;prise de connaissance du dossier médical, des antécédents et des habitudes antérieures de vie;;;NT;;;;;;;;;;;;;;;;;;;
45;00.02.02;;proposition de programme de prise en charge précisant la périodicité des éventuelles évaluations intermédiaires;;;NT;;;;;;;;;;;;;;;;;;;
46;00.02.02;;rédaction d'un compte-rendu et transmission à l'équipe;;;NT;;;;;;;;;;;;;;;;;;;
47;00.02.02;;L'évaluation intermédiaire comprend :;;;NT;;;;;;;;;;;;;;;;;;;
48;00.02.02;;comparaison des données de l'examen aux données antérieures;;;NT;;;;;;;;;;;;;;;;;;;
49;00.02.02;;proposition de réajustement du programme de prise en charge, si nécessaire;;;NT;;;;;;;;;;;;;;;;;;;
50;00.02.02;;rédaction des conclusions et transmission à l'équipe;;;NT;;;;;;;;;;;;;;;;;;;
51;00.02.02;;L'évaluation finale comprend :;;;NT;;;;;;;;;;;;;;;;;;;
52;00.02.02;;évaluation à la fin de la prise en charge ou à la sortie pour orientation;;;NT;;;;;;;;;;;;;;;;;;;
53;00.02.02;;rédaction d'un compte-rendu, prise de contact avec les partenaires d'aval;;;NT;;;;;;;;;;;;;;;;;;;
54;00.02.02;;Les actes de prise en charge à visée thérapeutique comprennent :;;;NT;;;;;;;;;;;;;;;;;;;
55;00.02.02;;l'information des patients sur l'affection ou le trouble présenté;;;NT;;;;;;;;;;;;;;;;;;;
56;00.02.02;;le fonctionnement physiologique;;;NT;;;;;;;;;;;;;;;;;;;
57;00.02.02;;les modalités et les objectifs de la prise en charge thérapeutique;;;NT;;;;;;;;;;;;;;;;;;;
58;00.02.02;;surveillance des paramètres cliniques et paracliniques;;;NT;;;;;;;;;;;;;;;;;;;
59;00.02.02;;échauffement, étirements, hydratation;;;NT;;;;;;;;;;;;;;;;;;;
